id,Inches,Weight,Company_enc,Type_enc,Sys_enc,HD,Touch,Ram,IPS,4K,Screen_Enc,HDD,SSD,Flash,Hybrid,Core,CPU_enc,GHz,GPU_enc,Price_euros
268,15.6,2.36,4,3,5,0,0,8,0,0,1,1000,0,0,0,1,85,2.7,24,749.0
347,15.6,2.0,2,3,5,0,0,4,0,0,1,1000,0,0,0,4,100,1.1,35,449.0
353,13.3,1.2,16,3,7,1,0,8,0,0,4,0,256,0,0,1,59,2.3,38,1460.0
578,15.6,4.42,4,1,5,1,0,16,1,1,14,1000,256,0,0,1,89,2.8,66,2868.99
42,12.5,1.26,4,4,7,1,1,8,0,0,4,0,256,0,0,1,61,2.4,38,1713.37
867,15.6,2.26,2,0,5,1,1,12,0,0,4,2000,512,0,0,1,85,2.7,61,1099.0
1136,15.6,2.0,2,3,2,1,0,4,0,0,4,0,256,0,0,1,48,2.0,38,415.0
609,15.6,2.4,11,1,5,1,0,8,0,0,4,1000,0,0,0,1,89,2.8,62,1142.8
474,14.0,1.3,2,4,5,1,0,8,1,0,4,0,256,0,0,1,85,2.7,59,1193.0
838,15.6,2.5,2,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,63,1600.0
851,15.6,2.65,2,3,5,0,0,4,0,0,1,1000,0,0,0,4,99,1.6,33,309.0
904,15.6,2.02,4,3,5,1,0,8,0,0,4,1000,0,0,0,1,93,1.8,50,855.0
355,15.6,2.2,16,3,5,0,0,8,0,0,1,0,256,0,0,1,59,2.3,38,1119.0
44,15.6,1.95,7,3,5,1,0,6,1,0,4,0,256,0,0,1,12,3.0,5,649.0
36,14.0,1.75,16,3,5,0,0,4,0,0,1,0,0,0,0,2,95,2.1,36,499.0
971,15.6,1.88,4,4,5,1,0,8,1,0,4,0,256,0,0,1,72,1.6,50,1096.16
938,14.0,1.74,10,0,5,1,1,4,1,0,4,0,256,0,0,1,51,2.4,42,629.0
718,15.6,2.23,0,3,5,0,0,6,0,0,1,1000,0,0,0,1,63,2.5,42,549.0
518,15.6,2.5,10,3,5,1,0,32,1,1,14,0,1000,0,0,1,103,3.1,85,4899.0
1126,17.3,3.0,0,3,5,1,0,8,1,0,4,0,256,0,0,1,72,1.6,79,854.0
51,10.1,0.69,10,0,5,0,1,4,1,0,5,0,0,64,0,1,27,1.44,32,646.27
772,17.3,2.71,7,3,5,1,0,6,1,0,4,2000,0,0,0,1,0,2.5,5,655.01
1001,12.5,1.26,7,2,5,0,0,8,0,0,1,0,256,0,0,1,67,2.6,42,1389.0
330,17.3,3.35,7,1,5,1,0,16,1,0,4,1000,256,0,0,1,89,2.8,62,1379.0
66,15.6,1.78,4,5,5,1,1,8,0,1,14,0,256,0,0,1,89,2.8,82,2712.0
